shot_id,take,mode,request_id,result,fail_tags,notes
S01,01,i2v,sim-s01-t01,pass,,dry-run
S01,02,i2v,sim-s01-t02,fail,warp,dry-run
S01,03,i2v,sim-s01-t03,pass,,dry-run
S01,04,i2v,sim-s01-t04,pass,,dry-run
S02,01,i2v,sim-s02-t01,fail,hands,dry-run
S02,02,i2v,sim-s02-t02,pass,,dry-run
S02,03,i2v,sim-s02-t03,fail,skate,dry-run
S02,04,i2v,sim-s02-t04,pass,,dry-run
S03,01,i2v,sim-s03-t01,fail,identity,dry-run
S03,02,i2v,sim-s03-t02,pass,,dry-run
S03,03,i2v,sim-s03-t03,pass,,dry-run
S03,04,i2v,sim-s03-t04,fail,morph,dry-run
S04,01,i2v,sim-s04-t01,fail,lips,dry-run
S04,02,i2v,sim-s04-t02,fail,lips,dry-run
S04,03,i2v,sim-s04-t03,pass,,dry-run
S04,04,i2v,sim-s04-t04,pass,,dry-run
S04,05,i2v,sim-s04-t05,fail,audio,dry-run
S04,06,i2v,sim-s04-t06,pass,,dry-run
S05,01,i2v,sim-s05-t01,pass,,dry-run
S05,02,i2v,sim-s05-t02,fail,warp,dry-run
S05,03,i2v,sim-s05-t03,pass,,dry-run
S05,04,i2v,sim-s05-t04,pass,,dry-run
